model,vertical_case,distance_Mpc,inclination_deg,D_sigma,i_sigma,upsilon,q_log10_ML,chi2_data,rms_km_s,prior_D,prior_i,prior_ML,prior_other,prior_total,objective_chi2_plus_priors,NFW_log10_M200,NFW_M200_Msun,NFW_log10_c200,NFW_c200,obs_velocity_factor_from_i73,MOND_a0_m_s2,minimum_gN_km2_s2_kpc,Kcrit_km_s_minus2,principal_mode_residual,principal_mode_min,K_treatment
MOND,gas_mix_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.4765969408345689,-0.1,6204.555401103988,22.643898445912075,4.000000000000002,1.0,1.0,0.0,6.000000000000002,6210.555401103988,,,,,1.0176782650088638,1.2e-10,71.17720481021193,,,,
TG_edge_limit,gas_mix_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.4765969408345689,-0.1,26914.503584044352,49.33875598899362,4.000000000000002,1.0,1.0,0.0,6.000000000000002,26920.503584044352,,,,,1.0176782650088638,,,9.746273269081742e-05,7.173783833370592e-12,0.02764834033672947,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_mix_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.5347505628802474,-0.05,94.05713633705841,9.168226802592445,4.000000000000002,1.0,0.25,0.0,5.250000000000002,99.30713633705841,11.534703161120058,342533585914.873,1.238280844114281,17.309353369496634,1.0176782650088638,,,,,,
MOND,gas_mix_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.5347505628802474,-0.05,4738.88680401705,19.70436143204024,4.000000000000002,1.0,0.25,0.0,5.250000000000002,4744.13680401705,,,,,1.0176782650088638,1.2e-10,75.1229873627196,,,,
TG_edge_limit,gas_mix_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.5347505628802474,-0.05,22246.12441638817,44.79323697335736,4.000000000000002,1.0,0.25,0.0,5.250000000000002,22251.37441638817,,,,,1.0176782650088638,,,8.860365920616824e-05,6.745617196095891e-12,0.026833874112222027,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_mix_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.6,0.0,86.9142650447922,8.825986259113884,4.000000000000002,1.0,0.0,0.0,5.000000000000002,91.9142650447922,11.539318448565869,346193132599.2596,1.217560743019726,16.502918048459854,1.0176782650088638,,,,,,
MOND,gas_mix_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.6,0.0,3416.3004605512647,16.65671700867461,4.000000000000002,1.0,0.0,0.0,5.000000000000002,3421.3004605512647,,,,,1.0176782650088638,1.2e-10,79.55022820329587,,,,
TG_edge_limit,gas_mix_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.6,0.0,17771.93264281578,39.963196782692094,4.000000000000002,1.0,0.0,0.0,5.000000000000002,17776.93264281578,,,,,1.0176782650088638,,,8.037815640892208e-05,4.433156181869117e-12,0.02610964313279396,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_mix_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.673211072581178,0.05,79.51873557779935,8.463914414367816,4.000000000000002,1.0,0.25,0.0,5.250000000000002,84.76873557779935,11.545642884623314,351271475228.64716,1.1930583090339182,15.597619047614696,1.0176782650088638,,,,,,
MOND,gas_mix_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.673211072581178,0.05,2269.387578505829,13.540560871903457,4.000000000000002,1.0,0.25,0.0,5.250000000000002,2274.637578505829,,,,,1.0176782650088638,1.2e-10,84.51767412806178,,,,
TG_edge_limit,gas_mix_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.673211072581178,0.05,13572.850074062426,34.84009196792503,4.000000000000002,1.0,0.25,0.0,5.250000000000002,13578.100074062426,,,,,1.0176782650088638,,,7.27766220094619e-05,6.21675436564793e-12,0.025466308217060175,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_mix_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.7553552470765004,0.1,71.94282203858612,8.087145636843642,4.000000000000002,1.0,1.0,0.0,6.000000000000002,77.94282203858612,11.554420835968065,358443604532.8575,1.1638176185887525,14.582017617138058,1.0176782650088638,,,,,,
MOND,gas_mix_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.7553552470765004,0.1,1335.4168059139088,10.461857107900592,4.000000000000002,1.0,1.0,0.0,6.000000000000002,1341.4168059139088,,,,,1.0176782650088638,1.2e-10,90.09124012639624,,,,
TG_edge_limit,gas_mix_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.7553552470765004,0.1,9742.01403969349,29.420481960423732,4.000000000000002,1.0,1.0,0.0,6.000000000000002,9748.01403969349,,,,,1.0176782650088638,,,6.578088794093841e-05,4.243540668502121e-12,0.024895222632318904,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_mix_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.762,0.10380372095595687,71.3617097862083,8.058097640588196,4.000000000000002,1.0,1.077521248430216,0.0,6.077521248430218,77.43923103463851,11.555218066274488,359102200399.4143,1.1613649973581774,14.499899675071532,1.0176782650088638,,,,,,
MOND,gas_mix_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.762,0.10380372095595687,1274.2499557419474,10.235482919612828,4.000000000000002,1.0,1.077521248430216,0.0,6.077521248430218,1280.3274769903776,,,,,1.0176782650088638,1.2e-10,90.54209338762003,,,,
TG_edge_limit,gas_mix_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.762,0.10380372095595687,9468.592174578805,28.99618592465396,4.000000000000002,1.0,1.077521248430216,0.0,6.077521248430218,9474.669695827235,,,,,1.0176782650088638,,,6.527282491277059e-05,7.490169586774675e-12,0.024854506044890867,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_thin_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.4765969408345689,-0.1,101.89627059466025,9.504038498514854,4.000000000000002,1.0,1.0,0.0,6.000000000000002,107.89627059466025,11.529286638478824,338288035854.41907,1.2569402922800672,18.069256889846525,1.0176782650088638,,,,,,
MOND,gas_thin_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.4765969408345689,-0.1,6162.646140309539,22.563381109543993,4.000000000000002,1.0,1.0,0.0,6.000000000000002,6168.646140309539,,,,,1.0176782650088638,1.2e-10,71.55592891878348,,,,
TG_edge_limit,gas_thin_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.4765969408345689,-0.1,26663.781758681776,49.102971299929315,4.000000000000002,1.0,1.0,0.0,6.000000000000002,26669.781758681776,,,,,1.0176782650088638,,,9.679820069365635e-05,8.443081619460344e-12,0.027692067148727125,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_thin_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.5347505628802474,-0.05,95.04232938069696,9.183415833356028,4.000000000000002,1.0,0.25,0.0,5.250000000000002,100.29232938069696,11.532644958535371,340914095901.7338,1.23928795734354,17.34953971257334,1.0176782650088638,,,,,,
MOND,gas_thin_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.5347505628802474,-0.05,4706.664012787403,19.633432733649673,4.000000000000002,1.0,0.25,0.0,5.250000000000002,4711.914012787403,,,,,1.0176782650088638,1.2e-10,75.50171147129112,,,,
TG_edge_limit,gas_thin_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.5347505628802474,-0.05,22032.04607554658,44.57171301645357,4.000000000000002,1.0,0.25,0.0,5.250000000000002,22037.29607554658,,,,,1.0176782650088638,,,8.805899034993908e-05,6.631930220689981e-12,0.026875123601058978,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_thin_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.6,0.0,87.87841529341475,8.840050712719123,4.000000000000002,1.0,0.0,0.0,5.000000000000002,92.87841529341475,11.53720893149597,344515631360.0971,1.2185675906297073,16.541222010318375,1.0176782650088638,,,,,,
MOND,gas_thin_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.6,0.0,3393.602610561132,16.598192872212074,4.000000000000002,1.0,0.0,0.0,5.000000000000002,3398.602610561132,,,,,1.0176782650088638,1.2e-10,79.92895231186739,,,,
TG_edge_limit,gas_thin_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.6,0.0,17593.039922436947,39.75606642615625,4.000000000000002,1.0,0.0,0.0,5.000000000000002,17598.039922436947,,,,,1.0176782650088638,,,7.993343707076975e-05,8.089478540223658e-12,0.026148093868783792,derived Kcrit limiting curve; no finite normalization and no K prior
NFW,gas_thin_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.673211072581178,0.05,80.45692432925115,8.476676285180812,4.000000000000002,1.0,0.25,0.0,5.250000000000002,85.70692432925115,11.543473086913252,349520849234.9566,1.1940633779606862,15.633757743420361,1.0176782650088638,,,,,,
MOND,gas_thin_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.673211072581178,0.05,2256.003785933193,13.499358778044959,4.000000000000002,1.0,0.25,0.0,5.250000000000002,2261.253785933193,,,,,1.0176782650088638,1.2e-10,84.89639823663332,,,,
TG_edge_limit,gas_thin_hstar0p3,11.0,70.0,-2.0000000000000004,-1.0,0.673211072581178,0.05,13427.664450340071,34.647805066915815,4.000000000000002,1.0,0.25,0.0,5.250000000000002,13432.914450340071,,,,,1.0176782650088638,,,7.241472773901254e-05,5.0657060711428645e-12,0.02550182260184097,derived Kcrit limiting curve; no finite normalization and no K prior
