r_mid_kpc,things_hihe_faceon_Msun_pc2,halogas_hihe_faceon_Msun_pc2,s4g_stars_faceon_Msun_pc2_Upsilon0p6,s4g_stars_smoothed_faceon_Msun_pc2_Upsilon0p6,things_npix,halogas_npix,s4g_npix,s4g_smoothed_npix,things_coverage,halogas_coverage,s4g_coverage
9.25,6.748933080383406,6.823612015365852,16.965094935395218,17.23916224590192,884,126,3574,3574,0.9914452608780243,1.0049038215544048,1.002099884057068
9.75,6.695058668601148,6.7892390749309115,15.336063486101036,15.602492240389697,950,136,3748,3748,1.0108278489344054,1.0290346011521705,0.9969954193498485
10.25,6.524518881598945,6.6666521947313395,13.904926686351377,14.157993460444432,978,130,3964,3964,0.9898586858550983,0.9356537711336986,1.0030162678619436
10.75,6.182079570744404,6.613534624172967,12.535486157650174,12.842552831671586,1046,152,4148,4148,1.0094421363385586,1.0431116818792863,1.0007566390699143
11.25,6.119230698015126,6.515341374129909,11.323939778795937,11.54837917845699,1064,144,4319,4319,0.9811768986989959,0.9442905751749326,0.9957008504133038
11.75,6.366060792087461,6.560170739064699,10.26710917735706,10.310961730534048,1146,166,4438,4438,1.0118239614843068,1.04223560823829,0.97959740895519
12.25,6.394941857650075,6.515355960534616,8.856405307085984,8.986328570611082,1188,172,4614,4614,1.0060940042283322,1.0358289472582172,0.9768765803276188
12.75,6.208926527658582,6.183264244130873,7.341566320391241,7.667816638112408,1240,166,4830,4830,1.008950150143815,0.9604916389646989,0.9825058443872338
13.25,5.783424337614848,5.913361894404,5.877329493064267,6.43096154152021,1254,176,4914,4914,0.9818380691159091,0.9799241817853076,0.9618724156617922
13.75,5.4477938848714,5.561349506606136,4.788065940069042,5.416155224990285,1328,182,5191,5191,1.0019673866413532,0.9764822993286236,0.9791439102161514
14.25,5.177611397936699,5.258200613253464,4.030232722085603,4.704409052332207,1384,198,5055,5055,1.0075797594475244,1.025052269104368,0.9200353027941259
14.75,4.934681778763766,4.936457530090474,,,1420,198,,,0.9987448041746183,0.9903047345584571,
15.25,4.671354669250393,4.716172830254959,,,1472,206,,,1.0013736868270289,0.9965361602768246,
15.75,4.404847867462508,4.530519125414099,,,1490,222,,,0.9814403726245327,1.039843788139063,
16.25,4.179293326145436,4.366185461109688,,,1594,216,,,1.0176376365482789,0.9806094434508918,
16.75,4.126216520872661,4.223534182514183,,,1604,230,,,0.9934539971396801,1.0129982849357955,
17.25,4.129469588529043,4.249292522830996,,,1676,228,,,1.0079595959992136,0.9750826591480284,
17.75,4.1847747885486966,4.248936569071098,,,1694,248,,,0.9900867704625709,1.030739712338835,
18.25,4.2140598035292625,4.25692600285229,,,1774,248,,,1.0084374269124117,1.0025002681651685,
18.75,4.131028351962515,4.135438530881909,,,1800,252,,,0.995931438529056,0.9915051039336796,
19.25,4.090065437618386,4.048109839873787,,,1858,266,,,1.0013206779150357,1.0194045982002116,
19.75,4.030074243535433,3.970747602986207,,,1890,256,,,0.9927797567615589,0.9562436204303117,
20.25,3.92974160327878,3.908191723686913,,,1976,270,,,1.0123253716735672,0.9836360158072217,
20.75,3.703374703100921,3.6964800931907495,,,1988,288,,,0.9939315762026923,1.0239295393463126,
21.25,3.3848354335687767,3.4066117313410555,,,2062,288,,,1.006671875611232,0.9998370795969875,
21.75,3.1617562650857174,3.2692645771099547,,,2086,290,,,0.9949774812124573,0.9836360158072217,
22.25,3.022215653679065,3.013076773136447,,,2132,306,,,0.9940663983819977,1.0145818679899208,
22.75,2.946103974651133,3.0361822034091146,,,2194,308,,,1.0004915641633465,0.9987688775888711,
23.25,2.9136639850478323,2.940889062423561,,,2250,324,,,1.003963143678484,1.0280582874888382,
23.75,2.9809161443314984,2.9830528106897503,,,2290,320,,,1.0002995588734818,0.9939900791315082,
24.25,3.0480863089278523,3.0777517670177916,,,2324,338,,,0.9942202161260852,1.028254556730436,
24.75,3.1806586948411186,3.0851211156693434,,,2406,328,,,1.0085063304296753,0.97767458540839,
25.25,3.1689533535041035,3.1424869573681997,,,2418,334,,,0.9934662617010138,0.9758448394443923,
25.75,3.0708203921188497,3.1011842489723374,,,2512,356,,,1.0120468339745101,1.0199254998855465,
26.25,2.934015743092044,3.000900850866951,,,2508,350,,,0.9911889078693938,0.9836360158072216,
26.75,2.7587735940210343,2.8787409098723167,,,2586,358,,,1.002912266369213,0.9873131597915477,
27.25,2.6175971010967602,2.683670793651163,,,2612,364,,,0.994408607583293,0.9854408525334735,
27.75,2.4457190617454447,2.5256757770620566,,,2680,384,,,1.0019130087304318,1.020854675864792,
28.25,2.269808476393846,2.313998522976956,,,2728,386,,,1.0018071402312922,1.0080092976148343,
28.75,2.13891596126436,2.2209681496091154,,,2776,386,,,1.0017049541147316,0.9904787011345761,
29.25,2.009949447699135,2.0273762798733515,,,2812,414,,,0.9973501442819463,1.0441674629338198,
29.75,1.9036777308549073,1.9357562817547311,,,2874,388,,,1.002208317343315,0.9621448087391649,
30.25,1.8323213451475382,1.8813843081601591,,,2914,416,,,0.9993609545019521,1.014527064237531,
30.75,1.7470162551690993,1.7878998294677297,,,2956,414,,,0.9972809391232689,0.9932324647419263,
31.25,1.663927763240393,1.7330218032732008,,,3000,432,,,0.995931438529056,1.0198338211889275,
31.75,1.6153298063452959,1.6707633826740798,,,3040,420,,,0.9933174452520769,0.9758908503284246,
32.25,1.5325653363074618,1.6133209979615362,,,3142,436,,,1.0107288694632732,0.9973611695161596,
32.75,1.4665607644953012,1.4954306476393613,,,3162,458,,,1.0016333360778864,1.031691515816124,
33.25,1.3469160153524957,1.412995034340832,,,3220,434,,,1.0046676792179072,0.9629278891586485,
33.75,1.271712920511623,1.3146876949970352,,,3226,456,,,0.9916280310786219,0.9967511626846514,
34.25,1.1621031207463492,1.2027636264017578,,,3322,456,,,1.0062299996330668,0.9822000508206417,
34.75,1.0756580931560764,1.0963741533228217,,,3340,476,,,0.9971256009253738,1.0105267845846855,
